address,time_in,time_out,lp_tokens_deposited
0x9a45c63ef50d0cc8ccdaffc54ea5ac8007313a6f,1630995943,1630995943,12334999999999950660
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1630998958,1630998958,121765943542877024
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1630999089,1630999089,1097287046434865496
0x76149d87a6ba9ea3c864d0643210e71393dd7777,1630999974,1630999974,38349999999999846600
0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,1631000167,1631000167,17599999999999929600
0xb9a7329e124edb947255e58df434d4b495def0e9,1631000403,1631000403,4999999999999999980
0x6db7424be3298b0081af4e698f828c57b68f4a2b,1631000405,1631000405,24972499999999780110
0xeff53613068a15a6845943e447fca03936c283c8,1631000691,1631000691,15000000000000000000
0xd3b608dd6f10a84f5e4a1ceab98de44e61e1f095,1631000852,1631000852,18999999999999999924
0xeff53613068a15a6845943e447fca03936c283c8,1631001084,1631001084,19151666666666410060
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631003243,1631003243,49310794498198127772
0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,1631003516,1631003516,97429166666666276950
0xddf055c37f41671c945af93a4dc11ca5528b3eb6,1631003854,1631003854,49310794498198127772
0x9a45c63ef50d0cc8ccdaffc54ea5ac8007313a6f,1631004160,1631004160,489212499999998043150
0x4ae1ecfc4987ff1a23902a10a38c86da289e4f9f,1631004665,1631004665,50191666666666465900
0xbc9ca5bd0f07700929f8d538233b0a9e60f4ddc5,1631008015,1631008015,1185499999999999995258
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631009844,1631009844,411579906361003447630
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1631009844,1631009844,411579906361003447630
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631012173,1631012173,55060060221702804242
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631013214,1631013214,186182525190681881606
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631013550,1631013550,176596446031545317523
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631013638,1631013638,167105564061498953043
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631015215,1631015215,105431212502612114780
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631015249,1631015249,121358022987571159715
0x453721d8f20513944a0edc7230ec2709552f7e17,1631019969,1631019969,615695833333330870550
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631020582,1631020582,1249477527875728812856
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1631020582,1631020582,1249477527875728812856
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631315736,1631315736,4361976305117172576233
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631317216,1631317216,2500000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317464,1631317464,1000000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317595,1631317595,1000000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317627,1631317627,1000000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317771,1631317771,1500000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317784,1631317784,1700000000000000000000
0x0fe85948329dcedd0236535ad9b5570f79c1b870,1631317827,1631317827,1700000000000000000000
0x887b86b6b6957f7bbea88b8cefd392f39236a88c,1631318323,1631318323,2500000000000000000000
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631319391,1631319391,5397360343933356834315
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631320224,1631320224,2946807508074393280095
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631320242,1631320242,2270559687058709438434
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631322082,1631322082,3750000000000000000000
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1631322082,1631322082,3750000000000000000000
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631322492,1631322492,7077463788350966910260
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631323890,1631323890,2172089562770450171343
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631323964,1631323964,3628352616649991062202
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631324100,1631324100,8951528729265054861194
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631324567,1631324567,2719445681934347668107
0x4a6c660b1ea3f599c785715cba79d0adfcc75521,1631324844,1631324844,3200000000000000000000
0x85905b40a61fdbadbb4372bb3ef4e9da60ebc98d,1631325130,1631325130,3771151666666651582060
0x9273101abbb7edf6475e3da01393e009902b4555,1631325149,1631325149,4108499999999999983566
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631325750,1631325750,932383748636186816560
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631326099,1631326099,1195019492767836182458
0x0a6ca057ff6ea5b5f9db057e595e14eecd8f6d84,1631327521,1631327521,2398999999999999990404
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631327628,1631327628,3478211666666654298940
0x1dbd61515024decd824d978382f91850db8540f3,1631328263,1631328263,4073999999999999983704
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631329517,1631329517,3876156258495811130095
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1631329517,1631329517,11582094024638031861
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1631329517,1631329517,3864574164471173098234
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1631329647,1631329647,3864574164471173098234
0x064251b330ea5615e4a638131409a6aba1d7e621,1631332858,1631332858,4379099999999982483600
0x23c0954c4b997c58a1544717de90c8e174ea194c,1631333429,1631333429,12308494999999984664754
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631335738,1631335738,4534887272723456557490
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1631335738,1631335738,13550405938536589534
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1631335738,1631335738,4521336866784919967956
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1631336693,1631336693,988436369655850070733
0x09cc15dda77789d42c0133c909e88fb6e3af793a,1631337832,1631337832,2081241666666658341700
0x4ae1ecfc4987ff1a23902a10a38c86da289e4f9f,1631338145,1631338145,2030983333333325209400
